,"Montgomery, AL","Juneau, AK","Phoenix, AZ","Little Rock, AR","Sacramento, CA","Denver, CO","Hartford, CT","Dover, DE","Tallahassee, FL","Atlanta, GA","Honolulu, HI","Boise, ID","Springfield, IL","Indianapolis, IN","Des Moines, IA","Topeka, KS","Frankfort, KY","Baton Rouge, LA","Augusta, ME","Annapolis, MD","Boston, MA","Lansing, MI","St. Paul, MN","Jackson, MS","Jefferson City, MO","Helena, MT","Lincoln, NE","Carson City, NV","Concord, NH","Trenton, NJ","Santa Fe, NM","Albany, NY","Raleigh, NC","Bismarck, ND","Columbus, OH","Oklahoma City, OK","Salem, OR","Harrisburg, PA","Providence, RI","Columbia, SC","Pierre, SD","Nashville, TN","Austin, TX","Salt Lake City, UT","Montpelier, VT","Richmond, VA","Olympia, WA","Washington, DC","Charleston, WV","Madison, WI","Cheyenne, WY"
"Montgomery, AL",0,-1,-1,-1,-1,-1,-1,-1,180,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Juneau, AK",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,914,-1,-1,-1,-1
"Phoenix, AZ",-1,-1,0,-1,635,586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,582,-1,-1,382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,504,-1,-1,-1,-1,-1,-1,-1
"Little Rock, AR",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,351,-1,303,-1,-1,-1,-1,-1,208,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,-1,-1,-1,-1,-1,326,443,-1,-1,-1,-1,-1,-1,-1,-1
"Sacramento, CA",-1,-1,635,-1,0,-1,-1,-1,-1,-1,2462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Denver, CO",-1,-1,586,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,444,-1,-1,-1,284,-1,-1,-1,-1,505,-1,-1,-1,-1,-1,-1,-1,371,-1,-1,-1,-1,-1,-1,97
"Hartford, CT",-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,153,-1,83,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dover, DE",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,-1
"Tallahassee, FL",180,-1,-1,-1,-1,-1,-1,-1,0,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Atlanta, GA",146,-1,-1,-1,-1,-1,-1,-1,228,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,356,-1,-1,-1,-1,-1,-1,194,-1,215,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Honolulu, HI",-1,2809,-1,-1,2462,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2561,-1,-1,-1,-1,-1,-1,-1,-1,-1,2637,-1,-1,-1,-1
"Boise, ID",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,289,-1,359,-1,-1,-1,-1,-1,-1,-1,-1,351,-1,-1,-1,-1,-1,-1,296,-1,-1,403,-1,-1,-1,606
